S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
501,P18,Gmelina arborea,35.3,29.9,7.1,0.0703,0.425,150.213,0.529,79.463
502,P18,Gmelina arborea,36.3,19.1,6.4,0.0286,0.425,56.509,0.529,29.893
503,P18,Gmelina arborea,36.3,22.3,6.7,0.0390,0.425,79.839,0.529,42.235
504,P18,Gmelina arborea,40.1,21.3,7.4,0.0357,0.425,80.761,0.529,42.723
505,P18,Gmelina arborea,40.1,23.6,7.1,0.0436,0.425,94.168,0.529,49.815
506,P18,Gmelina arborea,23.6,19.1,6.3,0.0286,0.425,55.647,0.529,29.437
507,P18,Gmelina arborea,32.1,22.6,7.4,0.0401,0.425,90.440,0.529,47.843
508,P18,Gmelina arborea,32.1,19.4,7.1,0.0296,0.425,64.584,0.529,34.165
509,P18,Gmelina arborea,26.7,22.0,6.1,0.0379,0.425,70.835,0.529,37.472
510,P18,Afzelia africana,28.3,23.2,6.4,0.0424,0.680,131.266,0.529,69.440
511,P18,Gmelina arborea,23.9,19.7,6.1,0.0306,0.425,57.486,0.529,30.410
512,P18,Gmelina arborea,25.5,17.8,6.4,0.0249,0.425,49.389,0.529,26.127
513,P18,Gmelina arborea,40.7,27.4,7.4,0.0588,0.425,131.476,0.529,69.551
514,P18,Gmelina arborea,35.3,28.3,6.1,0.0630,0.425,116.419,0.529,61.586
515,P18,Gmelina arborea,26.7,22.6,6.3,0.0401,0.425,77.294,0.529,40.889
516,P19,Daniella olivera,38.5,33.4,7.4,0.0877,0.533,242.376,0.529,128.217
517,P19,Daniella olivera,32.8,28.3,6.4,0.0630,0.533,152.335,0.529,80.585
518,P19,Anthocleista djalonensis,44.6,31.5,6.2,0.0780,0.523,178.510,0.529,94.432
519,P19,Gmelina arborea,29.0,24.5,7.1,0.0472,0.425,101.764,0.529,53.833
520,P19,Gmelina arborea,59.2,36.0,6.8,0.1016,0.425,206.287,0.529,109.126
521,P19,Gmelina arborea,29.0,22.3,6.1,0.0390,0.425,72.853,0.529,38.539
522,P19,Gmelina arborea,56.7,47.1,6.3,0.1743,0.425,324.221,0.529,171.513
523,P19,Gmelina arborea,53.5,36.0,6.8,0.1016,0.425,206.287,0.529,109.126
524,P19,Gmelina arborea,31.2,24.2,6.2,0.0460,0.425,86.907,0.529,45.974
525,P19,Gmelina arborea,41.7,27.4,6.4,0.0588,0.425,114.106,0.529,60.362
526,P19,Gmelina arborea,32.1,24.2,6.1,0.0460,0.425,85.539,0.529,45.250
527,P19,Gmelina arborea,32.1,25.8,6.3,0.0522,0.425,99.966,0.529,52.882
528,P19,Gmelina arborea,43.9,30.6,7.4,0.0733,0.425,162.966,0.529,86.209
529,P19,Gmelina arborea,48.7,32.1,7.4,0.0812,0.425,179.945,0.529,95.191
530,P19,Gmelina arborea,54.1,31.2,6.4,0.0764,0.425,147.245,0.529,77.892
531,P19,Gmelina arborea,53.5,31.8,7.4,0.0796,0.425,176.484,0.529,93.360
532,P19,Gmelina arborea,31.2,24.5,6.1,0.0472,0.425,87.750,0.529,46.420
533,P19,Gmelina arborea,56.0,27.4,5.4,0.0588,0.425,96.670,0.529,51.138
534,P19,Gmelina arborea,27.4,21.6,5.4,0.0368,0.425,61.123,0.529,32.334
535,P19,Gmelina arborea,33.1,29.0,6.1,0.0659,0.425,121.581,0.529,64.316
536,P19,Gmelina arborea,40.7,27.4,6.8,0.0588,0.425,121.061,0.529,64.041
537,P19,Gmelina arborea,31.2,23.2,6.1,0.0424,0.425,79.072,0.529,41.829
538,P19,Gmelina arborea,48.7,31.2,7.4,0.0764,0.425,169.659,0.529,89.750
539,P19,Gmelina arborea,32.1,29.0,6.4,0.0659,0.425,127.413,0.529,67.402
540,P19,Gmelina arborea,31.2,23.2,5.1,0.0424,0.425,66.394,0.529,35.122
541,P19,Gmelina arborea,56.7,40.7,6.4,0.1303,0.425,247.993,0.529,131.188
542,P19,Gmelina arborea,40.7,31.2,5.4,0.0764,0.425,124.745,0.529,65.990
543,P19,Gmelina arborea,35.0,31.2,6.4,0.0764,0.425,147.245,0.529,77.892
544,P19,Gmelina arborea,53.5,32.1,7.4,0.0812,0.425,179.945,0.529,95.191
545,P20,Gmelina arborea,33.1,27.7,7.5,0.0602,0.425,136.250,0.529,72.076
546,P20,Gmelina arborea,30.9,24.5,6,0.0472,0.425,86.346,0.529,45.677
547,P20,Gmelina arborea,21.0,15.9,5.5,0.0199,0.425,34.144,0.529,18.062
548,P20,Khaya senegalensis,22.3,20.7,6,0.0336,0.648,93.710,0.529,49.572
549,P20,Khaya senegalensis,32.8,26.4,6.5,0.0548,0.648,163.285,0.529,86.378
550,P20,Khaya senegalensis,23.9,19.1,5,0.0286,0.648,67.088,0.529,35.490
551,P20,Khaya senegalensis,17.5,14.3,5.5,0.0161,0.648,41.992,0.529,22.214
552,P20,Gmelina arborea,19.1,15.9,6.2,0.0199,0.425,38.379,0.529,20.303
553,P20,Gmelina arborea,23.2,20.1,6.3,0.0316,0.425,61.207,0.529,32.379
554,P20,Gmelina arborea,23.9,19.1,6.1,0.0286,0.425,53.922,0.529,28.525
555,P20,Gmelina arborea,22.3,17.5,6.2,0.0241,0.425,46.227,0.529,24.454
556,P20,Gmelina arborea,22.9,16.5,6.5,0.0215,0.425,43.389,0.529,22.953
557,P20,Gmelina arborea,23.2,20.1,6.4,0.0316,0.425,62.155,0.529,32.880
558,P20,Daniella olivera,20.4,17.2,5.4,0.0232,0.533,48.664,0.529,25.743
559,P20,Daniella olivera,17.2,12.7,5.6,0.0127,0.533,28.068,0.529,14.848
560,P20,Daniella olivera,20.7,19.1,6.2,0.0286,0.533,68.404,0.529,36.186
561,P20,Gmelina arborea,28.6,23.9,7,0.0448,0.425,95.339,0.529,50.434
562,P20,Gmelina arborea,27.7,24.5,6.5,0.0472,0.425,93.362,0.529,49.388
563,P21,Gmelina arborea,26.1,21.6,7.4,0.0368,0.425,83.131,0.529,43.976
564,P21,Ptericarpus erinaceous,32.1,29.9,7.2,0.0703,0.740,261.940,0.529,138.566
565,P21,Ptericarpus erinaceous,36.9,27.4,7.1,0.0588,0.740,217.205,0.529,114.901
566,P21,Gmelina arborea,24.8,21.6,6.4,0.0368,0.425,72.148,0.529,38.166
567,P21,Gmelina arborea,31.2,22.6,6.3,0.0401,0.425,77.294,0.529,40.889
568,P21,Gmelina arborea,32.8,25.8,6.4,0.0522,0.425,101.515,0.529,53.701
569,P21,Gmelina arborea,50.3,28.6,7.4,0.0644,0.425,143.677,0.529,76.005
570,P21,Anthocleista djalonensis,36.0,22.6,7.5,0.0401,0.523,112.338,0.529,59.427
571,P21,Anthocleista djalonensis,31.2,21.6,7.5,0.0368,0.523,103.259,0.529,54.624
572,P21,Anthocleista djalonensis,37.2,24.8,7.1,0.0484,0.523,127.940,0.529,67.680
573,P21,Anthocleista djalonensis,26.4,20.4,6.4,0.0326,0.523,78.579,0.529,41.568
574,P21,Anthocleista djalonensis,30.9,26.4,7.4,0.0548,0.523,150.390,0.529,79.557
575,P21,Iannea schimperiana,38.2,32.1,7.3,0.0812,0.600,248.876,0.529,131.655
576,P21,Iannea schimperiana,41.4,35.3,7.4,0.0980,0.600,303.239,0.529,160.413
577,P21,Iannea schimperiana,40.7,32.1,6.4,0.0812,0.600,218.883,0.529,115.789
578,P21,Gmelina arborea,25.8,20.4,6.3,0.0326,0.425,63.118,0.529,33.389
579,P21,Gmelina arborea,28.6,26.4,5.4,0.0548,0.425,90.197,0.529,47.714
580,P21,Gmelina arborea,31.2,22.6,6.3,0.0401,0.425,77.294,0.529,40.889
581,P21,Gmelina arborea,33.4,28.3,6.1,0.0630,0.425,116.419,0.529,61.586
582,P21,Gmelina arborea,40.7,31.2,7.4,0.0764,0.425,169.659,0.529,89.750
583,P21,Gmelina arborea,43.9,30.6,7.1,0.0733,0.425,156.515,0.529,82.796
584,P21,Gmelina arborea,31.2,19.4,6.1,0.0296,0.425,55.690,0.529,29.460
585,P21,Gmelina arborea,35.3,28.3,6.4,0.0630,0.425,122.004,0.529,64.540
586,P21,Gmelina arborea,39.5,32.1,7.4,0.0812,0.425,179.945,0.529,95.191
587,P21,Gmelina arborea,39.1,31.2,7.1,0.0764,0.425,162.943,0.529,86.197
588,P21,Gmelina arborea,41.7,32.1,7.4,0.0812,0.425,179.945,0.529,95.191
589,P21,Gmelina arborea,40.7,31.2,7.1,0.0764,0.425,162.943,0.529,86.197
590,P21,Gmelina arborea,32.1,30.6,6.4,0.0733,0.425,141.436,0.529,74.820
