S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
336,P14,Gmelina arborea,24.5,17.7,6.1,0.0245,0.425,46.310,0.529,24.498
337,P14,Daniella olivera,21.6,13.7,6.1,0.0147,0.533,35.137,0.529,18.588
338,P14,Gmelina arborea,20.1,15.3,5.2,0.0183,0.425,29.849,0.529,15.790
339,P14,Ficus sur,15.9,14.3,6.3,0.0161,0.4,29.944,0.529,15.840
340,P14,Gmelina arborea,23.6,18.5,6.4,0.0268,0.425,52.890,0.529,27.979
341,P14,Iannea schimperiana,20.4,17.3,7.1,0.0236,0.600,72.647,0.529,38.430
342,P14,Daniella olivera,18.8,15.0,6.2,0.0176,0.533,42.469,0.529,22.466
343,P14,Daniella olivera,21.3,17.5,6.4,0.0241,0.533,59.536,0.529,31.494
344,P14,Daniella olivera,24.2,15.6,6.1,0.0191,0.533,45.342,0.529,23.986
345,P14,Gmelina arborea,21.0,17.3,7.1,0.0236,0.425,51.833,0.529,27.420
346,P14,Gmelina arborea,25.1,18.5,7.4,0.0268,0.425,60.942,0.529,32.238
347,P14,Daniella olivera,21.6,16.5,6.3,0.0215,0.533,52.548,0.529,27.798
348,P14,Gmelina arborea,31.2,26.4,7.1,0.0548,0.425,117.816,0.529,62.324
349,P14,Anthocleista djalonensis,37.9,25.8,7.4,0.0522,0.523,143.398,0.529,75.857
350,P14,Gmelina arborea,30.7,22.9,7.3,0.0412,0.425,91.717,0.529,48.518
351,P14,Daniella olivera,15.9,12.7,5.3,0.0127,0.533,26.599,0.529,14.071
352,P14,Gmelina arborea,22.3,17.8,6.1,0.0249,0.425,47.128,0.529,24.931
353,P14,Gmelina arborea,20.4,16.2,5.4,0.0207,0.425,34.860,0.529,18.441
354,P14,Daniella olivera,21.6,18.1,5.3,0.0258,0.533,53.103,0.529,28.091
355,P15,Gmelina arborea,25.8,21.6,7.4,0.0368,0.425,83.131,0.529,43.976
356,P15,Anthocleista djalonensis,24.8,16.2,6.1,0.0207,0.523,48.136,0.529,25.464
357,P15,Gmelina arborea,22.6,18.8,6.2,0.0277,0.425,53.017,0.529,28.046
358,P15,Gmelina arborea,34.1,27.7,6.8,0.0602,0.425,123.824,0.529,65.503
359,P15,Gmelina arborea,25.8,21.0,6.7,0.0347,0.425,71.176,0.529,37.652
