PLOT ID,SPECIES,DB,DBH,THT,BA,AGBKg,T/ha,AGB/hakg,AGB/haTn
P7,Gmelina arborea,40.4,32.1,7.4,0.0812,179.945,0.529,95.191,0.095
P7,Gmelina arborea,45.5,42,7.6,0.1386,311.436,0.529,164.75,0.165
P7,Gmelina arborea,31.8,25.5,7.4,0.0509,114.166,0.529,60.394,0.06
P7,Gmelina arborea,36.3,29.8,7.2,0.0696,150.701,0.529,79.721,0.08
P7,Gmelina arborea,33.4,29,7.4,0.0659,146.809,0.529,77.662,0.078
P7,Gmelina arborea,28.6,23.9,7.1,0.0448,96.668,0.529,51.137,0.051
P7,Gmelina arborea,29,23.6,7.4,0.0436,98.049,0.529,51.868,0.052
P7,Gmelina arborea,30.6,26.7,7.3,0.0561,123.917,0.529,65.552,0.066
P7,Gmelina arborea,28.3,22.9,7.2,0.0412,90.491,0.529,47.87,0.048
P7,Gmelina arborea,36.6,30.6,6.5,0.0733,143.592,0.529,75.96,0.076
P7,Gmelina arborea,29.3,24.5,7.2,0.0472,103.162,0.529,54.573,0.055
P7,Gmelina arborea,25.8,23.6,6.2,0.0436,82.499,0.529,43.642,0.044
P7,Gmelina arborea,26.4,22.8,6.8,0.0407,84.425,0.529,44.661,0.045
P8,Gmelina arborea,57.3,42.5,7.4,0.1418,310.202,0.529,164.097,0.164
P8,Gmelina arborea,50.6,45.4,6.5,0.1616,310.445,0.529,164.225,0.164
P8,Gmelina arborea,25.3,24.3,6.3,0.0466,89.412,0.529,47.299,0.047
P8,Tectona grandis,33.4,23.4,6.3,0.043,118.64,0.529,62.76,0.063
P8,Gmelina arborea,35.3,21.8,6.4,0.0373,73.187,0.529,38.716,0.039
P8,Gmelina arborea,27.4,21.3,5.9,0.0357,64.742,0.529,34.248,0.034
P8,Gmelina arborea,52.5,22.8,7.1,0.0407,88.058,0.529,46.583,0.047
P8,Gmelina arborea,52.5,25.1,7,0.0497,105.516,0.529,55.818,0.056
P8,Gmelina arborea,44.6,31.5,6.8,0.078,159.347,0.529,84.294,0.084
P8,Khaya senegalensis,28.3,17.2,6.4,0.0232,69.497,0.529,36.764,0.037
P8,Gmelina arborea,33.1,26.7,6.3,0.0561,107.321,0.529,56.773,0.057
