S.NO,SPECIES,DIAMETER,HEIGHT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
33,Gmelina arborea,7.5,10,0.425,0.00441786466911065,0.0441786466911065,14.1072462119092,0.0141072462119092,23.5120770198487,0.0235120770198487,6.63040571959734,0.00663040571959734,39.1867950330812,0.0391867950330812,0.0736310778185108
34,Gmelina arborea,14,21,0.425,0.01539380400259,0.32326988405439,98.4125799472642,0.0984125799472642,164.020966578774,0.164020966578774,46.2539125752142,0.0462539125752142,273.368277631289,0.273368277631289,0.53878314009065
35,Vitex doniana,7.2,6.9,0.4,0.00407150407905237,0.0280933781454614,8.54781986495474,0.00854781986495474,14.2463664415912,0.0142463664415912,4.01747533652873,0.00401747533652873,23.7439440693187,0.0237439440693187,0.0468222969091023
36,Anthocleista djalonensis,7.4,7.5,0.532,0.00430084034276443,0.0322563025707332,12.9212618428257,0.0129212618428257,21.5354364047094,0.0215354364047094,6.07299306612806,0.00607299306612806,35.8923940078491,0.0358923940078491,0.0537605042845554
37,Ficus exasperata,7.7,7,0.293,0.00465662571078347,0.0325963799754843,7.29328935691931,0.00729328935691931,12.1554822615322,0.0121554822615322,3.42784599775207,0.00342784599775207,20.2591371025536,0.0202591371025536,0.0543272999591405
38,Gmelina arborea,13,18.5,0.425,0.0132732289614169,0.245554735786212,75.2488194046669,0.0752488194046669,125.414699007778,0.125414699007778,35.3669451201935,0.0353669451201935,209.024498346297,0.209024498346297,0.40925789297702
39,Gmelina arborea,10.3,13,0.425,0.00833228911548353,0.108319758501286,33.8524132957238,0.0338524132957238,56.4206888262063,0.0564206888262063,15.9106342489902,0.0159106342489902,94.0344813770105,0.0940344813770105,0.180532930835477
40,Prosopis africana,8.2,9,0.878,0.00528101725068444,0.04752915525616,30.7589170439927,0.0307589170439927,51.2648617399878,0.0512648617399878,14.4566910106766,0.0144566910106766,85.441436233313,0.085441436233313,0.0792152587602666
41,Vitex doniana,5.5,7.5,0.4,0.00237582944427728,0.0178187208320796,5.48117134637902,0.00548117134637902,9.13528557729837,0.00913528557729837,2.57615053279814,0.00257615053279814,15.2254759621639,0.0152254759621639,0.029697868053466
42,Gmelina arborea,10.2,12.6,0.425,0.00817128249198705,0.102958159399037,32.216017110954,0.0322160171109541,53.6933618515901,0.0536933618515901,15.1415280421484,0.0151415280421484,89.4889364193168,0.0894889364193168,0.171596932331728
43,Ficus sycomorus,6.4,7.7,0.413,0.00321699087727595,0.0247708297550248,7.79938882044761,0.00779938882044761,12.9989813674127,0.0129989813674127,3.66571274561038,0.00366571274561038,21.6649689456878,0.0216649689456878,0.0412847162583747
44,Gmelina arborea,8.7,10.6,0.425,0.00594467869875529,0.063013594206806,19.9509125757045,0.0199509125757045,33.2515209595075,0.0332515209595075,9.37692891058111,0.00937692891058111,55.4192015991791,0.0554192015991791,0.105022657011343
45,Gmelina arborea,8.2,10.2,0.425,0.00528101725068444,0.0538663759569813,17.1191054636067,0.0171191054636067,28.5318424393445,0.0285318424393445,8.04597956789515,0.00804597956789515,47.5530707322408,0.0475530707322408,0.0897772932616355
46,Vitellaria paradoxa,4.9,9,0.57,0.00188574099031727,0.0169716689128555,7.38503164800574,0.00738503164800574,12.3083860800096,0.0123083860800096,3.4709648745627,0.0034709648745627,20.513976800016,0.020513976800016,0.0282861148547591
47,Gmelina arborea,7.8,11,0.425,0.00477836242611008,0.0525619866872108,16.7143920665323,0.0167143920665323,27.8573201108872,0.0278573201108872,7.8557642712702,0.0078557642712702,46.4288668514787,0.0464288668514787,0.0876033111453514
48,Pterocarpus santalinoides,14.6,22,0.7,0.01674154725098,0.36831403952156,181.908110262926,0.181908110262926,303.180183771543,0.303180183771543,85.4968118235752,0.0854968118235752,505.300306285905,0.505300306285905,0.613856732535934
49,Pterocarpus santalinoides,15.6,22.3,0.7,0.0191134497044403,0.426229928409019,209.775861639537,0.209775861639537,349.626436065895,0.349626436065895,98.5946549705825,0.0985946549705825,582.710726776492,0.582710726776492,0.710383214015031
50,Gmelina arborea,8.4,9.8,0.425,0.0055417694409324,0.0543093405211375,17.2564904812199,0.0172564904812199,28.7608174686998,0.0287608174686998,8.11055052617334,0.00811055052617334,47.9346957811663,0.0479346957811663,0.0905155675352291
51,Gmelina arborea,12.1,24,0.425,0.011499014510302,0.275976348247249,84.334616566927,0.084334616566927,140.557694278212,0.140557694278212,39.6372697864557,0.0396372697864557,234.26282379702,0.23426282379702,0.459960580412082
