,S.NO,PLOT.NO,SPECIES,PLOT,DIAMETER,HEIGHT,CROWN.DIAMETER,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
61,61,15,Khaya senegalensis,P3,8.9,10.7,5.9,0.648,0.00622113885227119,0.0665661857193017,31.7687502120283,0.0317687502120283,18.1535715497305,0.0181535715497305,14.9313125996533,0.0149313125996533,10.3734694569888,0.0103734694569888,0.0380378204110296
62,62,16,Khaya senegalensis,P3,12.6,12,12.1,0.648,0.0124689812420979,0.149627774905175,70.0352156359108,0.0700352156359108,40.0201232205205,0.0400201232205205,32.9165513488781,0.0329165513488781,22.8686418402974,0.0228686418402974,0.0855015856600998
63,63,17,Khaya senegalensis,P3,8.3,12.4,6.1,0.648,0.00541060794764502,0.0670915385507983,32.0134346396795,0.0320134346396795,18.293391222674,0.018293391222674,15.0463142806494,0.0150463142806494,10.4533664129566,0.0104533664129566,0.0383380220290276
64,64,18,Khaya senegalensis,P3,8.2,10.5,6.5,0.648,0.00528101725068444,0.0554506811321866,26.5801645802467,0.0265801645802467,15.1886654744267,0.0151886654744267,12.4926773527159,0.0124926773527159,8.67923741395809,0.00867923741395809,0.0316861035041066
65,65,19,Khaya senegalensis,P3,13.4,12.5,15.85,0.648,0.0141026094219646,0.176282617774557,82.1873559644264,0.0821873559644264,46.9642034082436,0.0469642034082437,38.6280573032804,0.0386280573032804,26.8366876618535,0.0268366876618535,0.100732924442604
66,66,20,Khaya senegalensis,P3,18.5,19.4,22.1,0.648,0.0268802521422777,0.521476891560187,236.878678862477,0.236878678862477,135.359245064272,0.135359245064272,111.332979065364,0.111332979065364,77.348140036727,0.077348140036727,0.29798679517725
67,67,21,Khaya senegalensis,P3,11.5,10.6,8.5,0.648,0.0103868907109313,0.110101041535871,51.9150144011326,0.0519150144011326,29.6657225149329,0.0296657225149329,24.4000567685323,0.0244000567685323,16.9518414371045,0.0169518414371045,0.0629148808776407
68,68,22,Khaya senegalensis,P3,10.8,9.5,7.35,0.648,0.00916088417786784,0.0870283996897445,41.2680244738176,0.0412680244738176,23.5817282707529,0.0235817282707529,19.3959715026943,0.0193959715026943,13.4752732975731,0.0134752732975731,0.0497305141084254
69,69,23,Khaya senegalensis,P3,16.5,12.5,12.5,0.648,0.0213824649984955,0.267280812481194,123.374413679295,0.123374413679295,70.4996649595971,0.0704996649595971,57.9859744292686,0.0579859744292686,40.2855228340555,0.0402855228340555,0.152731892846397
70,70,24,Khaya senegalensis,P3,19.7,22.1,18,0.648,0.0304805173232916,0.673619432844744,304.11455251537,0.30411455251537,173.779744294497,0.173779744294497,142.933839682224,0.142933839682224,99.302711025427,0.099302711025427,0.384925390196996
71,71,1,Khaya senegalensis,P4,12.7,16.5,14.25,0.648,0.0126676869774374,0.209016835127718,97.0513236171388,0.0970513236171388,55.4578992097936,0.0554578992097936,45.6141221000552,0.0456141221000552,31.690228119882,0.031690228119882,0.119438191501553
72,72,2,Khaya senegalensis,P4,14.8,17,10.2,0.648,0.0172033613710577,0.292457143307981,134.704246116359,0.134704246116359,76.9738549236335,0.0769738549236335,63.3109956746886,0.0633109956746886,43.985059956362,0.043985059956362,0.167118367604561
73,73,3,Khaya senegalensis,P4,13.3,19,9.2,0.648,0.0138929081123375,0.263965254134412,121.880488902518,0.121880488902518,69.6459936585815,0.0696459936585815,57.2838297841833,0.0572838297841833,39.7977106620465,0.0397977106620465,0.150837288076807
74,74,4,Khaya senegalensis,P4,17.8,17.3,19.6,0.648,0.0248845554090848,0.430502808577166,196.455915813607,0.196455915813607,112.260523322061,0.112260523322061,92.3342804323951,0.0923342804323952,64.1488704697491,0.0641488704697491,0.246001604901238
75,75,5,Khaya senegalensis,P4,22.1,27.2,23.85,0.648,0.0383596316984948,1.04338198219906,466.128050473588,0.466128050473588,266.358885984908,0.266358885984908,219.080183722587,0.219080183722587,152.205077705661,0.152205077705661,0.596218275542319
76,76,6,Eucalyptus camadolensis,P4,20.2,26.1,12.6,0.73,0.0320473866592695,0.836436791806933,421.992938841328,0.421992938841328,241.138822195045,0.241138822195045,198.336681255424,0.198336681255424,137.793612682883,0.137793612682883,0.477963881032533
