,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
59,59,Tectona grandis,17.2,8.08,6.3,P3,0.615,0.00512758186548312,39.7282941387585,0.0397282941387585,26.485529425839,0.026485529425839,18.6722982452165,0.0186722982452165,17.657019617226,0.017657019617226
60,60,Tectona grandis,18,9.17,7.2,P3,0.615,0.00660432676221117,53.1677259543012,0.0531677259543012,35.4451506362008,0.0354451506362008,24.9888311985215,0.0249888311985215,23.6301004241339,0.0236301004241339
61,61,Tectona grandis,20.6,13.18,8.7,P3,0.615,0.0136433399919363,123.130733079534,0.123130733079534,82.087155386356,0.082087155386356,57.871444547381,0.057871444547381,54.7247702575707,0.0547247702575707
62,62,Tectona grandis,18,9.23,8.9,P3,0.615,0.00669103471945025,53.8489032787088,0.0538489032787088,35.8992688524725,0.0358992688524725,25.3089845409931,0.0253089845409931,23.9328459016483,0.0239328459016483
63,63,Tectona grandis,19,10.92,7.9,P3,0.615,0.00936559035517575,78.8190655722939,0.0788190655722939,52.5460437148626,0.0525460437148626,37.0449608189781,0.0370449608189781,35.0306958099084,0.0350306958099084
64,64,Tectona grandis,14.9,7,4.7,P3,0.615,0.0038484510006475,26.0986683918482,0.0260986683918482,17.3991122612321,0.0173991122612321,12.2663741441686,0.0122663741441686,11.5994081741547,0.0115994081741547
65,65,Tectona grandis,20,11.49,7.6,P3,0.615,0.0103688344071547,91.5181324098026,0.0915181324098026,61.0120882732017,0.0610120882732017,43.0135222326072,0.0430135222326072,40.6747255154678,0.0406747255154678
66,66,Tectona grandis,17,8.08,5.3,P3,0.615,0.00512758186548312,39.2773610327122,0.0392773610327122,26.1849073551415,0.0261849073551415,18.4603596853748,0.0184603596853748,17.4566049034277,0.0174566049034277
67,67,Tectona grandis,15,7.35,5.9,P4,0.615,0.00424291722821386,28.8944965576081,0.0288944965576081,19.2629977050721,0.0192629977050721,13.5804133820758,0.0135804133820758,12.8419984700481,0.0128419984700481
68,68,Tectona grandis,14.4,5.79,3.1,P4,0.615,0.00263297665695524,17.42880158973,0.01742880158973,11.61920105982,0.01161920105982,8.19153674717311,0.00819153674717311,7.74613403988001,0.00774613403988001
69,69,Tectona grandis,16.3,7.64,5.7,P4,0.615,0.00458433766382437,33.794849370557,0.033794849370557,22.5298995803713,0.0225298995803713,15.8835792041618,0.0158835792041618,15.0199330535809,0.0150199330535809
70,70,Tectona grandis,19.2,10.18,6.05,P4,0.615,0.00813926966284697,69.435703356338,0.069435703356338,46.2904689042253,0.0462904689042253,32.6347805774789,0.0326347805774789,30.8603126028169,0.0308603126028169
71,71,Tectona grandis,14.3,6.81,4.6,P4,0.615,0.00364237037655364,23.7611968496952,0.0237611968496952,15.8407978997968,0.0158407978997968,11.1677625193568,0.0111677625193568,10.5605319331979,0.0105605319331979
72,72,Tectona grandis,20,10.82,7.7,P4,0.615,0.00919484479445314,81.3905655097344,0.0813905655097344,54.2603770064896,0.0542603770064896,38.2535657895752,0.0382535657895752,36.1735846709931,0.0361735846709931
73,73,Tectona grandis,17.5,8.63,6,P4,0.615,0.00584940204755354,45.9468122692575,0.0459468122692575,30.631208179505,0.030631208179505,21.595001766551,0.021595001766551,20.4208054530033,0.0204208054530033
74,74,Tectona grandis,12.2,6.24,4.7,P4,0.615,0.00305815195271045,17.1571319389644,0.0171571319389644,11.4380879593096,0.0114380879593096,8.06385201131325,0.00806385201131325,7.62539197287305,0.00762539197287305
75,75,Tectona grandis,11.5,7.32,5.7,P4,0.615,0.00420835185504274,22.116881937527,0.022116881937527,14.7445879583513,0.0147445879583513,10.3949345106377,0.0103949345106377,9.82972530556756,0.00982972530556756
76,76,Tectona grandis,17,8.59,6.7,P4,0.615,0.00579530382205873,44.2618926246921,0.0442618926246921,29.5079284164614,0.0295079284164614,20.8030895336053,0.0208030895336053,19.6719522776409,0.0196719522776409
77,77,Tectona grandis,22,15.21,9.8,P4,0.615,0.0181697231252836,173.651260267739,0.173651260267739,115.76750684516,0.11576750684516,81.6160923258375,0.0816160923258375,77.178337896773,0.077178337896773
78,78,Tectona grandis,18,9.87,7.7,P4,0.615,0.00765110543438729,61.3776454593561,0.0613776454593561,40.9184303062374,0.0409184303062374,28.8474933658973,0.0288474933658973,27.2789535374916,0.0272789535374916
79,79,Tectona grandis,13,5.79,3.3,P4,0.615,0.00263297665695524,15.773005162693,0.015773005162693,10.5153367751286,0.0105153367751286,7.41331242646569,0.00741331242646569,7.01022451675242,0.00701022451675242
80,80,Tectona grandis,17.5,8.4,5.2,P4,0.615,0.0055417694409324,43.5868495208828,0.0435868495208828,29.0578996805886,0.0290578996805886,20.4858192748149,0.0204858192748149,19.3719331203924,0.0193719331203924
81,81,Tectona grandis,10.3,5.73,3.4,P4,0.615,0.00257868993590121,12.3141412423959,0.0123141412423959,8.20942749493059,0.00820942749493058,5.78764638392606,0.00578764638392606,5.47295166328706,0.00547295166328706
