S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
48,Daniella oliveri,8.911521324,15,12.86,P1,0.533,FOR,1,0.00623725618926055,36.5992260405731,0.0365992260405731,14.6396904162292,0.0146396904162292,17.2016362390693,0.0172016362390693,5.85587616649169,0.00585587616649169
49,Khaya senegalensis,7.32017823,18.9,13.2,P1,0.648,FOR,1,0.0042085567904751,37.7994309614729,0.0377994309614729,15.1197723845892,0.0151197723845892,17.7657325518923,0.0177657325518923,6.04790895383567,0.00604790895383567
50,Khaya senegalensis,8.274984087,16,12.5,P1,0.648,FOR,1,0.00537804232701131,40.814537878421,0.040814537878421,16.3258151513684,0.0163258151513684,19.1828328028579,0.0191828328028579,6.53032606054736,0.00653032606054736
51,Daniella oliveri,6.683640993,14,9.4,P1,0.533,FOR,1,0.00350845660645906,19.5140485717413,0.0195140485717413,7.8056194286965,0.0078056194286965,9.17160282871839,0.00917160282871839,3.1222477714786,0.0031222477714786
52,Azdirachta indica,10.50286442,18,14,P1,0.57,FOR,1,0.00866373978730348,64.3409745091331,0.0643409745091331,25.7363898036533,0.0257363898036533,30.2402580192926,0.0302402580192926,10.2945559214613,0.0102945559214613
53,Albizia zygia,12.09420751,21,15.75,P1,0.804,FOR,1,0.0114880075709057,137.791400802314,0.137791400802314,55.1165603209255,0.0551165603209255,64.7619583770875,0.0647619583770875,22.0466241283702,0.0220466241283702
54,Ficus sycomorus,9.229789943,15,16.2,P1,0.413,FOR,1,0.00669073017282254,30.5563735539154,0.0305563735539154,12.2225494215661,0.0122225494215661,14.3614955703402,0.0143614955703402,4.88901976862646,0.00488901976862646
55,Khaya senegalensis,8.274984087,18,13.7,P1,0.648,FOR,1,0.00537804232701131,45.7867423691255,0.0457867423691255,18.3146969476502,0.0183146969476502,21.519768913489,0.021519768913489,7.32587877906008,0.00732587877906008
56,Senna siamea,10.50286442,19,15.3,P1,0.57,FOR,1,0.00866373978730348,67.8274022244239,0.0678274022244239,27.1309608897696,0.0271309608897696,31.8788790454792,0.0318788790454792,10.8523843559078,0.0108523843559078
57,Khaya senegalensis,9.548058561,20,15.55,P1,0.648,FOR,1,0.00716011552274306,67.0983391073721,0.0670983391073721,26.8393356429489,0.0268393356429489,31.5362193804649,0.0315362193804649,10.7357342571795,0.0107357342571795
58,Stereospermum kunthianum,8.911521324,12,14,P1,0.6,FOR,1,0.00623725618926055,33.042857175624,0.033042857175624,13.2171428702496,0.0132171428702496,15.5301428725433,0.0155301428725433,5.28685714809984,0.00528685714809984
59,Khaya senegalensis,7.32017823,17,11.2,P1,0.648,FOR,1,0.0042085567904751,34.0860509123445,0.0340860509123445,13.6344203649378,0.0136344203649378,16.0204439288019,0.0160204439288019,5.45376814597512,0.00545376814597512
60,Daniella oliveri,8.593252705,18,17.6,P1,0.533,FOR,1,0.00579969357355686,40.7307482184155,0.0407307482184155,16.2922992873662,0.0162922992873662,19.1434516626553,0.0191434516626553,6.51691971494648,0.00651691971494648
